Date,BTC Open,BTC Close,ETH Open,ETH Close,LTC Open,LTC Close,XRP Open,XRP Close,USDT Open,USDT Close
6/30/2018,6278.26,6358.5,439.61,448.45,80.19,80.81,0.4598,0.4653,1,0.9989
6/29/2018,5946.72,6278.26,427.49,439.61,76.09,80.19,0.4542,0.4598,0.9996,1
6/28/2018,6132.4,5946.72,440.4,427.49,80.44,76.09,0.4696,0.4542,0.999,0.9996
6/27/2018,6155.2,6132.4,436,440.4,76.48,80.44,0.4572,0.4696,0.9991,0.999
6/26/2018,6335.44,6155.2,467.13,436,82.4,76.48,0.4859,0.4572,0.9997,0.9991
6/25/2018,6296.98,6335.44,464.13,467.13,82.23,82.4,0.4845,0.4859,0.9984,0.9997
6/24/2018,6310,6296.98,486.69,464.13,84.89,82.23,0.5022,0.4845,0.9986,0.9984
6/23/2018,6220.43,6310,476,486.69,87.13,84.89,0.4966,0.5022,0.9988,0.9986
6/22/2018,6703,6220.43,523.99,476,96.37,87.13,0.5347,0.4966,0.9989,0.9988
6/21/2018,6724,6703,533.73,523.99,97.5,96.37,0.5387,0.5347,0.999,0.9989
6/20/2018,6749.9,6724,536.66,533.73,98.72,97.5,0.5478,0.5387,0.999,0.999
6/19/2018,6779,6749.9,521.6,536.66,99.64,98.72,0.5446,0.5478,0.9987,0.999
6/18/2018,6614.68,6779,508.62,521.6,97.21,99.64,0.5378,0.5446,0.9994,0.9987
6/17/2018,6645.05,6614.68,508,508.62,99.52,97.21,0.5486,0.5378,0.9984,0.9994
6/16/2018,6573.3,6645.05,499.94,508,98.52,99.52,0.5484,0.5486,1,0.9984
6/15/2018,6708,6573.3,523.4,499.94,102.08,98.52,0.5643,0.5484,0.9996,1
6/14/2018,6423.4,6708,483.35,523.4,95.4,102.08,0.5385,0.5643,1,0.9996
6/13/2018,6704.1,6423.4,503.92,483.35,102.43,95.4,0.5691,0.5385,1.001,1
6/12/2018,6976.16,6704.1,537.72,503.92,108.4,102.43,0.6062,0.5691,1.001,1.001
6/11/2018,6885.95,6976.16,534.69,537.72,108.76,108.4,0.5919,0.6062,1.0005,1.001
6/10/2018,7517.58,6885.95,595,534.69,117.46,108.76,0.6643,0.5919,0.9997,1.0005
6/9/2018,7641.53,7517.58,598.93,595,120.18,117.46,0.6721,0.6643,0.9991,0.9997
6/8/2018,7628.92,7641.53,599.01,598.93,121.01,120.18,0.672,0.6721,0.9991,0.9991
6/7/2018,7605,7628.92,601.5,599.01,120.27,121.01,0.6693,0.672,0.9991,0.9991
6/6/2018,7557.4,7605,602,601.5,121.05,120.27,0.6695,0.6693,1.0003,0.9991
6/5/2018,7493.87,7557.4,589.07,602,120.02,121.05,0.6548,0.6695,1,1.0003
6/4/2018,7633.48,7493.87,614,589.07,123.83,120.02,0.6806,0.6548,1.0001,1
6/3/2018,7583.8,7633.48,585,614,121.97,123.83,0.6339,0.6806,1.0005,1.0001
6/2/2018,7482.06,7583.8,574,585,119.29,121.97,0.619,0.6339,1,1.0005
6/1/2018,7449,7482.06,572,574,116.79,119.29,0.6094,0.619,1.0002,1
5/31/2018,7381.2,7449,556.13,572,117.5,116.79,0.6016,0.6094,1.0001,1.0002
5/30/2018,7433.15,7381.2,563.6,556.13,118.6,117.5,0.5961,0.6016,1.0001,1.0001
5/29/2018,7225.5,7433.15,519.72,563.6,112.49,118.6,0.556,0.5961,0.998,1.0001
5/28/2018,7426.8,7225.5,575.95,519.72,119.03,112.49,0.6138,0.556,0.9988,0.998
5/27/2018,7415.18,7426.8,590,575.95,119.2,119.03,0.6147,0.6138,0.9987,0.9988
5/26/2018,7553.16,7415.18,591.1,590,119.98,119.2,0.6135,0.6147,0.9972,0.9987
5/25/2018,7586.7,7553.16,603.49,591.1,122.43,119.98,0.6249,0.6135,0.9993,0.9972
5/24/2018,7573.26,7586.7,585.7,603.49,120.07,122.43,0.5994,0.6249,0.9988,0.9993
5/23/2018,8073,7573.26,652.54,585.7,129.12,120.07,0.6478,0.5994,0.9998,0.9988
